lot_id,name,start_price,appraised_price,region_code,property_group,is_closed,auction_cnt,is_single_step,no_docs,zaklad_percent,price_vs_appraised,duration_hours,red_flag_score,ensemble_score,xgb_prob,iso_anomaly,url,is_suspicious,flag_type,comment
23447671,Бўш ер участкаси - Y1733220-980271/162,2955230.33,14776151.63,UZ-TO,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,300,0,0,25.0,0.20000000027070647,-1.0,4.5,0.6517,0.9994837,0,https://e-auksion.uz/lot-view?lot_id=23447671,,,
22798119,Lacetti,165701700.0,165701700.0,UZ-TK,Avtotransport,0,1,1,1,5.0,1.0,-1.0,7.0,0.9112,0.9994305,1,https://e-auksion.uz/lot-view?lot_id=22798119,,,
22797904,DAMAS-2,78088000.0,78088000.0,UZ-BU,Avtotransport,0,1,1,1,5.0,1.0,-1.0,6.5,0.8865,0.9980959,1,https://e-auksion.uz/lot-view?lot_id=22797904,,,
23339320,CHERY CHERY TIGGO 7 PRO T7T715LUX,233925000.0,233925000.0,UZ-AN,Avtotransport,0,1,1,1,5.0,1.0,-1.0,6.5,0.8986,0.9984591,1,https://e-auksion.uz/lot-view?lot_id=23339320,,,
23274846,KA1703220014/92-1 yer uchastkasi,11627702.4,29069255.999999996,UZ-NG,Yer uchastkalari,0,17,0,0,25.0,0.4000000000000001,-1.0,4.5,0.649,0.9991973,0,https://e-auksion.uz/lot-view?lot_id=23274846,,,
23453105,Бўш ер участкаси - Y1718209-976106/001,30323910.6,151619553.0,UZ-BU,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,322,0,0,15.0,0.2,-1.0,4.5,0.6708,0.9991715,0,https://e-auksion.uz/lot-view?lot_id=23453105,,,
22838256,Noutbuk  LENOVO ,295000.0,295000.0,UZ-TK,Boshqa mulklar,0,1,1,0,50.0,1.0,-1.0,5.0,0.8588,0.9963582,1,https://e-auksion.uz/lot-view?lot_id=22838256,,,
23260339,KA1722221033/131-1 yer uchastkasi,93555264.0,93555264.0,UZ-QR,Yer uchastkalari,0,1,1,0,5.0,1.0,-1.0,5.5,0.7237,0.9930674,1,https://e-auksion.uz/lot-view?lot_id=23260339,,,
23136631,"Promishlennaya rasposhivalnaya shveynaya mashina ""BML-787-N600-CB356--AST-DS/H""",24311280.0,24311280.0,UZ-SI,Boshqa mulklar,0,1,1,1,5.0,1.0,-1.0,6.5,0.8801,0.9984829,1,https://e-auksion.uz/lot-view?lot_id=23136631,,,
23098285,CHEVROLET NEXIA 3,75120000.0,75120000.0,UZ-TK,Avtotransport,0,1,1,1,5.0,1.0,-1.0,7.0,0.9126,0.99938786,1,https://e-auksion.uz/lot-view?lot_id=23098285,,,
23407183,Ko'p qavatli uydagi xonadon,270000000.0,270000000.0,UZ-SA,Koʻchmas mulk,0,1,1,1,5.0,1.0,-1.0,6.5,0.8777,0.99859446,1,https://e-auksion.uz/lot-view?lot_id=23407183,,,
22895635,"""Eski markaziy idora"" bino va inshootlari",768197500.0,768197500.0,UZ-NW,Koʻchmas mulk,0,1,1,1,5.0,1.0,-1.0,7.0,0.9474,0.99945825,1,https://e-auksion.uz/lot-view?lot_id=22895635,,,
23444974,Бўш ер участкаси - Y1718215-792401/002,3986779.8,19933899.0,UZ-BU,Qishloq xo‘jaligiga moʼljallangan yer uchastkalari,0,324,0,0,25.0,0.19999999999999998,-1.0,4.5,0.6736,0.99884593,0,https://e-auksion.uz/lot-view?lot_id=23444974,,,
23444081,"Ko`chma savdo joyi, yo`l yoqasida - SX146387",66960.0,66960.0,UZ-SU,Koʻchma savdo joylari,0,46,0,0,50.0,1.0,-1.0,2.5,0.0233,0.00042101828,0,https://e-auksion.uz/lot-view?lot_id=23444081,,,
23166053,"Ko`chma savdo joyi, yo`l yoqasida - SX90811",240000.0,240000.0,UZ-AN,Koʻchma savdo joylari,0,64,0,0,50.0,1.0,-1.0,2.5,0.0363,0.0004684855,0,https://e-auksion.uz/lot-view?lot_id=23166053,,,
23468323,Бўш ер участкаси - Y1730212-62681/065,2458700.64,12293503.2,UZ-XO,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,32,0,0,25.0,0.2,-1.0,4.5,0.6069,0.9995541,0,https://e-auksion.uz/lot-view?lot_id=23468323,,,
23328682,Ulug`bek tayyorlov maskani,11652892470.0,11652892470.0,UZ-AN,Koʻchmas mulk,0,3,0,0,3.0,1.0,-1.0,5.0,0.8303,0.8487213,1,https://e-auksion.uz/lot-view?lot_id=23328682,,,
23453087,Бўш ер участкаси - Y1712251-520565/023,25193892.8,125969464.0,UZ-SI,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,318,0,0,15.0,0.2,-1.0,4.5,0.6802,0.99949336,0,https://e-auksion.uz/lot-view?lot_id=23453087,,,
23440982,Mamuriy bino va ishlab chiqarish bazasi xamda uskunalar,19000000000.0,19000000000.0,UZ-XO,Koʻchmas mulk,0,6,0,1,2.0,1.0,-1.0,6.0,0.9439,0.99368757,1,https://e-auksion.uz/lot-view?lot_id=23440982,,,
