lot_number,lot_url,district,category,auction_settings,start_price,appraised_price,price_ratio,auction_count,is_suspicious,is_bankruptcy,no_discount,price_below_10pct,price_below_70pct,is_ultra_repeated,seller_lot_count
23468490,https://e-auksion.uz/lot-view?lot_id=23468490,Qo`shtepa tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),4861766.4,24308832.0,0.2,27,1,0,0,0,1,0,3782
23456990,https://e-auksion.uz/lot-view?lot_id=23456990,Quva tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),874241.19,4371205.94,0.2000000004575396,321,1,0,0,0,1,1,3782
23468287,https://e-auksion.uz/lot-view?lot_id=23468287,O`zbekiston tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),4359829.32,21799146.6,0.2,32,1,0,0,0,1,0,3782
23461461,https://e-auksion.uz/lot-view?lot_id=23461461,Buvayda tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),1086151.79,5430758.97,0.19999999926345471,270,1,0,0,0,1,1,3782
23448843,https://e-auksion.uz/lot-view?lot_id=23448843,O`zbekiston tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,2138691.76,10693458.81,0.19999999981296976,139,1,0,0,0,1,1,3782
22895545,https://e-auksion.uz/lot-view?lot_id=22895545,Farg`ona shahri,Yengil,Bankrotlik,83301316.02,83301316.02,1.0,1,1,1,1,0,0,0,1
23455208,https://e-auksion.uz/lot-view?lot_id=23455208,Dang`ara tumani,Dehqon xo‘jaliklari tomonidan qishloq xo‘jaligi kooperativini tashkil etish uchun,Dehqon xo`jaligi yerlari(Auksion),7062850.08,35314250.4,0.2,48,1,0,0,0,1,0,3782
23226406,https://e-auksion.uz/lot-view?lot_id=23226406,Farg`ona shahri,Boshqa turdagi mulklar,Bankrotlik,605311.3,605311.3,1.0,29,1,1,1,0,0,0,165
23467207,https://e-auksion.uz/lot-view?lot_id=23467207,Toshloq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),13718472.76,68592363.8,0.2,50,1,0,0,0,1,0,3782
23451481,https://e-auksion.uz/lot-view?lot_id=23451481,Beshariq tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,4563687.74,22818438.72,0.19999999982470318,52,1,0,0,0,1,0,3782
23466210,https://e-auksion.uz/lot-view?lot_id=23466210,Beshariq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),13862372.83,69311864.16,0.19999999997114493,52,1,0,0,0,1,0,3782
23465838,https://e-auksion.uz/lot-view?lot_id=23465838,Furqat tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),4928821.92,24644109.6,0.19999999999999998,51,1,0,0,0,1,0,3782
23466951,https://e-auksion.uz/lot-view?lot_id=23466951,Quva tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),10268379.0,51341895.0,0.2,51,1,0,0,0,1,0,3782
23455217,https://e-auksion.uz/lot-view?lot_id=23455217,Dang`ara tumani,Dehqon xo‘jaliklari tomonidan qishloq xo‘jaligi kooperativini tashkil etish uchun,Dehqon xo`jaligi yerlari(Auksion),4003913.23,20019566.16,0.19999999990009773,48,1,0,0,0,1,0,3782
23466741,https://e-auksion.uz/lot-view?lot_id=23466741,Beshariq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),3758614.2,18793071.0,0.2,52,1,0,0,0,1,0,3782
23451588,https://e-auksion.uz/lot-view?lot_id=23451588,Farg`ona tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,6110898.95,30554494.74,0.20000000006545685,48,1,0,0,0,1,0,3782
23226362,https://e-auksion.uz/lot-view?lot_id=23226362,Farg`ona shahri,Boshqa turdagi mulklar,Bankrotlik,1425324.6,1425324.6,1.0,28,1,1,1,0,0,0,165
23335381,https://e-auksion.uz/lot-view?lot_id=23335381,Uchko`prik tumani,Tadbirkorlik va shaharsozlik uchun,Ijara huquqi (VM-71),4713750.0,7271439.75,0.6482553884875413,36,1,0,0,0,1,0,1911
23467123,https://e-auksion.uz/lot-view?lot_id=23467123,Quva tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),4771298.66,23856493.3,0.2,51,1,0,0,0,1,0,3782
